"id";"FIN";"firstname";"lastname";"fathername";"gender";"birthdate";"address";"cityid";"emailaddress";"phonenumber";"maritialstatus";"militarystatus";"bloodtype";"createdate";"d"
193;"Q5IMW1O";"Elçin";"Ahmadova";"Matanat";"M";"1996-11-19";"";78;"";"";"married";"not completed";"B";"2022-12-01 09:50:56";0.0
194;"FIUAV6A";"Aynur";"Xalilova";"Samire";"F";"1994-12-03";"";66;"";"";"single";"not completed";"0";"2022-12-01 09:50:56";0.0
195;"437ITTV";"Vüqar";"Aslanova";"Ali";"F";"2000-04-11";"";33;"";"";"single";"not completed";"AB";"2022-12-01 09:50:56";0.0
196;"MBJ5SMQ";"Xatire";"Orucova";"Mehriban";"M";"1994-08-17";"";68;"";"";"single";"completed";"A";"2022-12-01 09:50:57";0.0
197;"YGUKA7N";"Elnare";"Mammadov";"Ilhame";"M";"1999-05-21";"";49;"";"";"divorced";"completed";"B";"2022-12-01 09:50:57";0.0
198;"4OCAAB5";"Orxan";"Mehdiyeva";"Faride";"M";"2003-04-05";"";7;"";"";"single";"not completed";"A";"2022-12-01 09:50:57";0.0
199;"B5PS2L8";"Mahir";"Asgarova";"Vaqif";"F";"1997-06-09";"";77;"";"";"single";"completed";"A";"2022-12-01 09:50:57";0.0
200;"318S84M";"Elnare";"Bağirova";"Camile";"M";"2002-01-21";"";64;"";"";"single";"completed";"B";"2022-12-01 09:50:57";0.0
201;"QIDYPJI";"Naile";"Bayramov";"Könül";"F";"1997-01-04";"";88;"";"";"single";"completed";"AB";"2022-12-01 09:50:57";0.0
202;"ID4SVPX";"Gülnar";"Orucova";"Arzu";"M";"2003-07-10";"";74;"";"";"single";"not completed";"A";"2022-12-01 09:50:57";0.0
203;"E5P0SJQ";"Vaqif";"Mahmudova";"Ilqar";"M";"1998-02-16";"";66;"";"";"married";"completed";"0";"2022-12-01 09:50:57";0.0
204;"N84TLP1";"Elşad";"Ismayilov";"Elman";"F";"1997-04-03";"";88;"";"";"single";"completed";"0";"2022-12-01 09:50:57";0.0
205;"5AYCUTQ";"Xayale";"Maharramov";"Aynure";"M";"1994-06-05";"";43;"";"";"single";"completed";"B";"2022-12-01 09:50:57";0.0
206;"ZMURAT7";"Elnur";"Isayev";"Parvane";"F";"1999-01-23";"";9;"";"";"divorced";"not completed";"A";"2022-12-01 09:50:57";0.0
207;"T2PRF7D";"Orxan";"Mahmudova";"Nigar";"F";"2002-03-01";"";19;"";"";"divorced";"completed";"0";"2022-12-01 09:50:57";0.0
208;"1VOG3FS";"Tarane";"Yusifova";"Zaur";"M";"2001-09-26";"";25;"";"";"single";"completed";"B";"2022-12-01 09:50:57";0.0
209;"CADR093";"Elmira";"Muradova";"Elnare";"M";"2000-03-25";"";11;"";"";"single";"completed";"B";"2022-12-01 09:50:57";0.0
210;"UNNJ8FC";"Vüsal";"Cafarov";"Elnur";"F";"1998-03-25";"";19;"";"";"divorced";"completed";"B";"2022-12-01 09:50:57";0.0
211;"8UH6E7E";"Günel";"Azizova";"Samire";"F";"1996-08-29";"";56;"";"";"single";"not completed";"0";"2022-12-01 09:50:57";0.0
212;"IQJGKC6";"Elşan";"Ismayilova";"Raşad";"F";"1998-10-19";"";25;"";"";"married";"not completed";"AB";"2022-12-01 09:50:57";0.0
213;"4JPAEX1";"Faride";"Maharramov";"Nurane";"F";"2000-11-01";"";77;"";"";"married";"completed";"B";"2022-12-01 09:50:57";0.0
215;"718BZ6P";"Nargiz";"Yusifov";"Mehman";"F";"1998-11-26";"";91;"";"";"divorced";"not completed";"A";"2022-12-01 09:50:57";0.0
216;"ER9Q928";"Ramiz";"Aslanova";"Ilhame";"M";"2003-06-21";"";47;"";"";"single";"not completed";"B";"2022-12-01 09:50:57";0.0
217;"QDFJ6FG";"Matanat";"Novruzov";"Elnare";"M";"2002-06-12";"";78;"";"";"married";"not completed";"B";"2022-12-01 09:50:57";0.0
218;"AD68Q2A";"Gülşan";"Allahverdiyev";"Raşad";"M";"1995-10-03";"";55;"";"";"single";"completed";"A";"2022-12-01 09:50:57";0.0
219;"TM5I3L0";"Arif";"Ismayilova";"Rana";"F";"1995-06-08";"";36;"";"";"divorced";"completed";"AB";"2022-12-02 08:27:47";0.0
220;"X5PMN96";"Elşad";"Aslanova";"Vüqar";"M";"2001-02-08";"";77;"";"";"single";"completed";"AB";"2022-12-02 08:27:47";0.0
221;"JXV694U";"Şahin";"Bayramova";"Nargiz";"F";"2002-03-06";"";59;"";"";"divorced";"not completed";"B";"2022-12-02 08:27:47";0.0
222;"QL6C9DY";"Ramil";"Aliyeva";"Arif";"F";"1996-10-15";"";61;"";"";"single";"not completed";"A";"2022-12-02 08:27:47";0.0
224;"19RSHGI";"Aygün";"Yusifova";"Fuad";"F";"2000-04-04";"";46;"";"";"married";"completed";"0";"2022-12-02 08:27:48";0.0
225;"PM2O64L";"Şahla";"Sadiqova";"Ramil";"M";"1995-12-30";"";27;"";"";"married";"not completed";"0";"2022-12-02 08:27:48";0.0
226;"IUMFJC6";"Şahla";"Ismayilov";"Günel";"F";"1999-12-25";"";75;"";"";"single";"completed";"AB";"2022-12-02 08:27:48";0.0
228;"N2J7J1I";"Vüqar";"Qurbanova";"Esmira";"F";"1995-09-10";"";51;"";"";"divorced";"completed";"B";"2022-12-02 08:28:39";0.0
229;"FNSRNLF";"Aygün";"Ahmadov";"Irade";"F";"2003-02-13";"";8;"";"";"divorced";"completed";"A";"2022-12-02 08:28:39";0.0
230;"7JC7SLW";"Sabine";"Zeynalov";"Vüsal";"F";"1997-08-03";"";81;"";"";"divorced";"not completed";"0";"2022-12-02 08:28:39";0.0
231;"FR2VKVE";"Elman";"Kazimova";"Ali";"F";"2002-11-13";"";18;"";"";"single";"not completed";"0";"2022-12-02 08:28:39";0.0
232;"Q1J76VA";"Vaqif";"Mahmudov";"Sevda";"M";"2001-06-23";"";77;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:39";0.0
233;"3ZSU6M8";"Zeynab";"Babayev";"Parvane";"M";"1998-09-18";"";96;"";"";"married";"not completed";"AB";"2022-12-02 08:28:39";0.0
234;"KEIVM79";"Nurane";"Rüstamov";"Günel";"M";"1998-09-19";"";35;"";"";"married";"not completed";"B";"2022-12-02 08:28:39";0.0
235;"DSRCZI6";"Elvin";"Hasanova";"Elşad";"M";"1997-07-05";"";97;"";"";"divorced";"completed";"A";"2022-12-02 08:28:39";0.0
236;"4YSEZ1C";"Lale";"Ağayeva";"Fuad";"M";"1996-10-16";"";34;"";"";"divorced";"completed";"A";"2022-12-02 08:28:39";0.0
237;"UEZGLK6";"Mahir";"Zeynalova";"Elnare";"F";"1995-08-25";"";36;"";"";"divorced";"not completed";"B";"2022-12-02 08:28:39";0.0
238;"FYFUIFM";"Mehman";"Ismayilov";"Ismayil";"M";"1997-07-23";"";72;"";"";"married";"completed";"0";"2022-12-02 08:28:39";0.0
239;"SS50FRQ";"Naile";"Novruzova";"Kamale";"M";"2000-02-12";"";74;"";"";"divorced";"not completed";"A";"2022-12-02 08:28:39";0.0
240;"MKKAYYS";"Mahammad";"Rüstamov";"Elşad";"M";"2001-02-10";"";30;"";"";"divorced";"not completed";"AB";"2022-12-02 08:28:39";0.0
241;"LUE3ACS";"Sadaqat";"Isayeva";"Sevda";"M";"1998-03-02";"";65;"";"";"married";"not completed";"A";"2022-12-02 08:28:39";0.0
242;"H22AICQ";"Elnur";"Abdullayev";"Rana";"F";"1999-07-01";"";49;"";"";"divorced";"completed";"B";"2022-12-02 08:28:39";0.0
243;"H18LBWZ";"Ramiz";"Bayramova";"Rana";"M";"2002-08-06";"";21;"";"";"single";"completed";"0";"2022-12-02 08:28:39";0.0
244;"NX85GV6";"Yegane";"Cafarov";"Rauf";"M";"2003-09-01";"";14;"";"";"married";"completed";"B";"2022-12-02 08:28:39";0.0
245;"W7VCT4W";"Arzu";"Allahverdiyeva";"Gülnare";"M";"2000-04-01";"";42;"";"";"married";"completed";"A";"2022-12-02 08:28:39";0.0
246;"XO58O8O";"Ramin";"Süleymanova";"Ramiz";"F";"2000-07-14";"";82;"";"";"single";"completed";"B";"2022-12-02 08:28:39";0.0
247;"JQGTOLF";"Malahat";"Ahmadov";"Emin";"F";"1999-04-23";"";28;"";"";"single";"not completed";"A";"2022-12-02 08:28:39";0.0
248;"F95IA3D";"Elçin";"Bağirova";"Gülnar";"M";"1998-10-16";"";14;"";"";"single";"not completed";"0";"2022-12-02 08:28:40";0.0
249;"YYSAXSZ";"Nazile";"Xalilov";"Parvane";"F";"1996-08-22";"";81;"";"";"divorced";"not completed";"AB";"2022-12-02 08:28:40";0.0
250;"T1OCL0W";"Emin";"Samadova";"Elşad";"M";"1998-07-09";"";71;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:40";0.0
251;"R9XZNCQ";"Aynure";"Zeynalova";"Elvin";"M";"1995-02-11";"";50;"";"";"divorced";"not completed";"B";"2022-12-02 08:28:40";0.0
252;"YJDBXAO";"Ramiz";"Samadov";"Mehman";"F";"1995-05-01";"";86;"";"";"married";"not completed";"AB";"2022-12-02 08:28:40";0.0
253;"WTI7O7M";"Samire";"Samadova";"Rauf";"F";"1997-04-07";"";88;"";"";"married";"completed";"A";"2022-12-02 08:28:40";0.0
254;"LTAHYO4";"Natiq";"Aslanov";"Natiq";"F";"2002-05-16";"";64;"";"";"married";"not completed";"0";"2022-12-02 08:28:40";0.0
255;"CZ6U8RL";"Ilqar";"Zeynalova";"Ismayil";"F";"1999-02-23";"";87;"";"";"married";"completed";"AB";"2022-12-02 08:28:40";0.0
257;"ARWDCI8";"Camile";"Xalilova";"Rahile";"F";"1997-02-14";"";86;"";"";"married";"not completed";"AB";"2022-12-02 08:28:40";0.0
258;"KQ80TA2";"Şahla";"Ağayeva";"Elnur";"F";"1995-04-18";"";64;"";"";"divorced";"not completed";"A";"2022-12-02 08:28:40";0.0
259;"VOPPHOH";"Saadat";"Rüstamova";"Elxan";"F";"1997-09-14";"";42;"";"";"single";"completed";"AB";"2022-12-02 08:28:40";0.0
261;"1XTHXRC";"Zeynab";"Hasanov";"Elmira";"M";"2002-12-20";"";53;"";"";"married";"not completed";"AB";"2022-12-02 08:28:40";0.0
262;"1P4EDGV";"Aytan";"Haciyeva";"Orxan";"F";"1997-05-27";"";23;"";"";"divorced";"not completed";"B";"2022-12-02 08:28:40";0.0
263;"51XLWLZ";"Elnur";"Tağiyeva";"Kamran";"M";"1996-11-02";"";77;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:40";0.0
264;"KHJKTYP";"Ceyhun";"Mahmudov";"Malahat";"F";"1994-04-15";"";20;"";"";"divorced";"completed";"B";"2022-12-02 08:28:40";0.0
265;"EK56ZT4";"Fuad";"Qarayev";"Ülviyye";"F";"1995-05-15";"";34;"";"";"divorced";"completed";"A";"2022-12-02 08:28:40";0.0
266;"MJ0ZSA2";"Rana";"Sadiqova";"Nazile";"M";"1995-02-01";"";81;"";"";"single";"not completed";"AB";"2022-12-02 08:28:40";0.0
267;"2S4UMNM";"Vüsal";"Maharramov";"Samir";"F";"1995-04-12";"";26;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:40";0.0
268;"SNYXK5V";"Yusif";"Quliyev";"Elnur";"M";"2002-04-15";"";28;"";"";"single";"completed";"B";"2022-12-02 08:28:40";0.0
269;"RWZ0IZU";"Namiq";"Xalilov";"Eldar";"F";"2003-07-06";"";52;"";"";"single";"not completed";"0";"2022-12-02 08:28:40";0.0
270;"SYH6IDJ";"Elşan";"Sadiqov";"Tarane";"M";"1999-08-03";"";92;"";"";"single";"not completed";"B";"2022-12-02 08:28:40";0.0
271;"RPKA8XY";"Sevil";"Novruzova";"Nazim";"M";"2003-04-25";"";9;"";"";"single";"completed";"A";"2022-12-02 08:28:40";0.0
272;"AQIDM6L";"Camile";"Sadiqov";"Ruslan";"M";"2002-07-23";"";28;"";"";"married";"completed";"AB";"2022-12-02 08:28:40";0.0
273;"ERE7E8Q";"Mehriban";"Rahimova";"Irade";"M";"1999-04-12";"";25;"";"";"divorced";"completed";"0";"2022-12-02 08:28:40";0.0
274;"YFDHQK9";"Elman";"Xalilov";"Ramiz";"F";"2000-02-26";"";93;"";"";"single";"completed";"B";"2022-12-02 08:28:40";0.0
275;"URUMY8U";"Zeynab";"Mamedov";"Rafiq";"M";"1998-04-08";"";41;"";"";"single";"completed";"A";"2022-12-02 08:28:40";0.0
277;"VO6LEV1";"Solmaz";"Sadiqova";"Eldar";"F";"1994-04-21";"";90;"";"";"married";"completed";"A";"2022-12-02 08:28:40";0.0
278;"SNYEHHH";"Raşad";"Novruzov";"Xayale";"F";"2000-08-09";"";86;"";"";"married";"completed";"B";"2022-12-02 08:28:40";0.0
279;"PLS6L8A";"Günay";"Ahmadova";"Sadaqat";"M";"1994-02-17";"";45;"";"";"single";"completed";"A";"2022-12-02 08:28:40";0.0
280;"3KJSNOR";"Parvane";"Alakbarov";"Kamran";"M";"1995-07-07";"";64;"";"";"divorced";"not completed";"0";"2022-12-02 08:28:40";0.0
281;"CGD98QC";"Gülşan";"Zeynalov";"Gülşan";"M";"2000-08-16";"";33;"";"";"married";"not completed";"AB";"2022-12-02 08:28:40";0.0
282;"CAHNB0I";"Sevil";"Allahverdiyeva";"Esmira";"F";"2002-06-25";"";95;"";"";"married";"completed";"AB";"2022-12-02 08:28:40";0.0
283;"TP4Y1TZ";"Zaur";"Ismayilov";"Sevinc";"F";"1994-09-16";"";90;"";"";"married";"completed";"A";"2022-12-02 08:28:40";0.0
284;"RGUI316";"Vaqif";"Muradov";"Naile";"F";"1995-07-22";"";40;"";"";"divorced";"not completed";"0";"2022-12-02 08:28:40";0.0
285;"H52HUMK";"Gülnare";"Ismayilova";"Elman";"M";"1997-05-04";"";90;"";"";"divorced";"not completed";"0";"2022-12-02 08:28:40";0.0
286;"O1VLVZS";"Elşad";"Xalilov";"Gülşan";"F";"2000-05-22";"";24;"";"";"married";"not completed";"B";"2022-12-02 08:28:40";0.0
287;"8LWEWRS";"Mehriban";"Babayeva";"Vüsale";"F";"1998-09-10";"";65;"";"";"divorced";"not completed";"B";"2022-12-02 08:28:40";0.0
288;"EQ4QE74";"Vüsale";"Süleymanov";"Vüsale";"M";"1997-10-27";"";71;"";"";"married";"not completed";"B";"2022-12-02 08:28:40";0.0
289;"LE2T31Y";"Camile";"Asgarov";"Raşad";"M";"1995-11-14";"";37;"";"";"married";"not completed";"0";"2022-12-02 08:28:40";0.0
290;"CEEC124";"Orxan";"Babayev";"Leyla";"F";"1998-08-16";"";83;"";"";"married";"not completed";"AB";"2022-12-02 08:28:40";0.0
291;"UNPR6C4";"Vafa";"Alakbarova";"Eldar";"M";"1998-08-19";"";6;"";"";"single";"completed";"A";"2022-12-02 08:28:40";0.0
292;"QCOLI7B";"Solmaz";"Isayev";"Elşan";"M";"1994-04-13";"";50;"";"";"single";"completed";"0";"2022-12-02 08:28:40";0.0
293;"ZF0CP26";"Samir";"Mirzayev";"Vaqif";"M";"1998-02-06";"";73;"";"";"divorced";"not completed";"B";"2022-12-02 08:28:41";0.0
294;"K4Q2KVY";"Ülviyye";"Samadova";"Aytan";"M";"2000-11-19";"";11;"";"";"single";"completed";"B";"2022-12-02 08:28:41";0.0
295;"FTHT13X";"Nazim";"Qarayev";"Ali";"F";"2003-11-23";"";1;"";"";"single";"completed";"A";"2022-12-02 08:28:41";0.0
296;"N4AEIGU";"Raşad";"Qarayev";"Zeynab";"M";"2002-08-16";"";87;"";"";"single";"completed";"0";"2022-12-02 08:28:41";0.0
297;"GRJJOF0";"Rafiq";"Asadova";"Samir";"F";"1994-02-28";"";68;"";"";"married";"not completed";"0";"2022-12-02 08:28:41";0.0
298;"RYUSQA2";"Sevda";"Karimov";"Natiq";"M";"2000-05-15";"";35;"";"";"single";"completed";"0";"2022-12-02 08:28:41";0.0
299;"0N9NIT8";"Nazile";"Zeynalova";"Rafiq";"F";"2001-08-13";"";79;"";"";"married";"completed";"AB";"2022-12-02 08:28:41";0.0
300;"QGST14A";"Lale";"Mammadov";"Xalide";"M";"1995-08-28";"";70;"";"";"single";"completed";"AB";"2022-12-02 08:28:41";0.0
301;"T3LGA77";"Tarane";"Ibrahimov";"Fatma";"F";"2002-12-11";"";22;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:41";0.0
302;"VK0H7NL";"Orxan";"Safarov";"Sevda";"F";"2001-07-07";"";50;"";"";"divorced";"completed";"0";"2022-12-02 08:28:41";0.0
303;"2HNCWA6";"Solmaz";"Quliyev";"Fuad";"M";"1997-04-26";"";7;"";"";"single";"completed";"A";"2022-12-02 08:28:41";0.0
305;"QCX5V22";"Ceyhun";"Cafarova";"Ismayil";"M";"2000-11-19";"";94;"";"";"divorced";"completed";"0";"2022-12-02 08:28:41";0.0
306;"73XZ36G";"Şahla";"Asadova";"Solmaz";"M";"2000-10-27";"";2;"";"";"divorced";"not completed";"0";"2022-12-02 08:28:41";0.0
307;"SMWUXYB";"Vafa";"Quliyev";"Sadaqat";"M";"2001-05-27";"";76;"";"";"single";"completed";"0";"2022-12-02 08:28:41";0.0
308;"QESTDCI";"Xanim";"Isayeva";"Ismayil";"M";"1997-08-23";"";5;"";"";"divorced";"completed";"0";"2022-12-02 08:28:41";0.0
309;"JCWHYCD";"Elxan";"Sadiqov";"Tarane";"F";"1995-09-15";"";14;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:41";0.0
310;"QLBTZCN";"Fuad";"Mustafayev";"Leyla";"F";"1996-01-02";"";87;"";"";"divorced";"not completed";"AB";"2022-12-02 08:28:41";0.0
311;"FF5BRVP";"Ramil";"Rzayeva";"Raşad";"F";"1994-10-19";"";75;"";"";"married";"not completed";"AB";"2022-12-02 08:28:41";0.0
312;"MSHOMET";"Matanat";"Cafarov";"Namiq";"F";"1996-07-10";"";41;"";"";"married";"not completed";"0";"2022-12-02 08:28:41";0.0
313;"FZYJP4Q";"Arif";"Qurbanov";"Ceyhun";"M";"1998-06-24";"";69;"";"";"divorced";"completed";"A";"2022-12-02 08:28:41";0.0
314;"NY8JCFM";"Elman";"Asgarova";"Faride";"F";"2001-02-21";"";16;"";"";"divorced";"not completed";"A";"2022-12-02 08:28:41";0.0
315;"SZXQMH8";"Anar";"Aliyev";"Parvane";"F";"1995-11-28";"";41;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:41";0.0
316;"04BYYUM";"Rasim";"Hasanov";"Aysel";"F";"2003-09-17";"";47;"";"";"single";"completed";"AB";"2022-12-02 08:28:41";0.0
317;"EHATZ58";"Vaqif";"Aliyev";"Mehman";"F";"2002-12-11";"";22;"";"";"married";"not completed";"A";"2022-12-02 08:28:41";0.0
318;"P5W0SB9";"Vüsal";"Xalilova";"Tarane";"F";"1999-04-08";"";14;"";"";"divorced";"completed";"B";"2022-12-02 08:28:41";0.0
319;"GMJUVSL";"Günay";"Bayramova";"Lale";"F";"1995-06-14";"";41;"";"";"divorced";"completed";"A";"2022-12-02 08:28:41";0.0
320;"AGIMMUV";"Xanim";"Orucov";"Aysel";"F";"1997-01-04";"";60;"";"";"single";"not completed";"A";"2022-12-02 08:28:41";0.0
322;"XEB3VK1";"Zaur";"Aslanova";"Vüqar";"F";"1995-04-16";"";9;"";"";"single";"not completed";"B";"2022-12-02 08:28:41";0.0
323;"LORYQG3";"Zeynab";"Kazimov";"Ilqar";"M";"1998-12-20";"";82;"";"";"married";"completed";"B";"2022-12-02 08:28:41";0.0
324;"3GG6NJ6";"Anar";"Maharramov";"Xalide";"F";"2001-12-26";"";16;"";"";"married";"completed";"0";"2022-12-02 08:28:41";0.0
325;"GTTRRDT";"Orxan";"Haciyeva";"Aynure";"F";"2001-01-13";"";52;"";"";"married";"completed";"0";"2022-12-02 08:28:41";0.0
326;"7L08MQK";"Aybaniz";"Musayev";"Camile";"M";"1999-08-26";"";87;"";"";"single";"not completed";"0";"2022-12-02 08:28:41";0.0
327;"L6TBKPA";"Aynur";"Azizov";"Sevinc";"F";"2001-11-10";"";76;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:41";0.0
328;"DASEQBR";"Cavid";"Mustafayev";"Natiq";"F";"1998-11-07";"";86;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:41";0.0
330;"Q1HLPXA";"Xatire";"Mehdiyev";"Elçin";"F";"2001-08-08";"";32;"";"";"single";"not completed";"B";"2022-12-02 08:28:41";0.0
331;"H1JWQU9";"Namiq";"Asadova";"Lale";"M";"1996-11-22";"";54;"";"";"divorced";"not completed";"0";"2022-12-02 08:28:41";0.0
332;"LNN7TU1";"Ülviyye";"Karimova";"Xatire";"M";"2000-02-17";"";8;"";"";"divorced";"not completed";"AB";"2022-12-02 08:28:41";0.0
333;"4AWTVCS";"Vüsal";"Orucova";"Mahir";"F";"1998-12-17";"";13;"";"";"single";"completed";"AB";"2022-12-02 08:28:41";0.0
334;"V338LHR";"Ilhame";"Tağiyeva";"Elşad";"F";"1996-09-02";"";86;"";"";"single";"completed";"A";"2022-12-02 08:28:41";0.0
335;"AOR771W";"Elşad";"Ağayev";"Aygün";"M";"1996-05-24";"";57;"";"";"married";"not completed";"A";"2022-12-02 08:28:41";0.0
336;"SER870B";"Elxan";"Cafarov";"Gülşan";"F";"2001-07-06";"";70;"";"";"single";"completed";"B";"2022-12-02 08:28:41";0.0
337;"ERJMV2K";"Şahla";"Muradov";"Ramin";"F";"2002-11-05";"";47;"";"";"married";"not completed";"0";"2022-12-02 08:28:41";0.0
339;"25141XV";"Orxan";"Ahmadov";"Samire";"F";"1994-05-27";"";38;"";"";"married";"not completed";"AB";"2022-12-02 08:28:41";0.0
340;"94OM7H8";"Nurane";"Hasanova";"Elmira";"F";"2000-11-21";"";20;"";"";"single";"completed";"B";"2022-12-02 08:28:41";0.0
341;"28H80GO";"Ilqar";"Azizova";"Azar";"M";"1994-07-17";"";49;"";"";"divorced";"completed";"0";"2022-12-02 08:28:41";0.0
342;"OPLMFFK";"Mehriban";"Abbasov";"Nazim";"M";"1995-05-26";"";29;"";"";"married";"not completed";"A";"2022-12-02 08:28:41";0.0
343;"Q7WHFG6";"Matanat";"Mehdiyev";"Azar";"M";"2002-03-27";"";77;"";"";"married";"completed";"B";"2022-12-02 08:28:41";0.0
344;"Z9CH2A6";"Günay";"Valiyev";"Matanat";"M";"2002-05-03";"";24;"";"";"divorced";"completed";"0";"2022-12-02 08:28:41";0.0
345;"M2HX8JJ";"Gülnar";"Sadiqov";"Naile";"F";"1996-07-17";"";63;"";"";"married";"not completed";"AB";"2022-12-02 08:28:41";0.0
346;"YEM26CF";"Mahammad";"Valiyeva";"Vüsale";"M";"2000-01-25";"";32;"";"";"married";"completed";"AB";"2022-12-02 08:28:41";0.0
347;"5DF9CDQ";"Ramiz";"Samadov";"Matanat";"M";"1998-05-05";"";87;"";"";"married";"not completed";"0";"2022-12-02 08:28:42";0.0
348;"4NX4API";"Solmaz";"Cafarov";"Elnare";"F";"2002-04-16";"";16;"";"";"married";"completed";"0";"2022-12-02 08:28:42";0.0
349;"LL5TRZK";"Vüqar";"Mehdiyev";"Elmira";"M";"1998-03-13";"";6;"";"";"married";"completed";"AB";"2022-12-02 08:28:42";0.0
350;"SW9NGAO";"Ali";"Maharramova";"Ülviyye";"F";"1999-08-03";"";28;"";"";"single";"completed";"0";"2022-12-02 08:28:42";0.0
351;"KJQYF31";"Xalide";"Tağiyeva";"Kamale";"M";"1999-02-28";"";40;"";"";"divorced";"not completed";"AB";"2022-12-02 08:28:42";0.0
353;"LOG13QU";"Xatire";"Hüseynova";"Xayale";"F";"1998-09-16";"";47;"";"";"single";"not completed";"0";"2022-12-02 08:28:42";0.0
354;"7Q4FCE8";"Orxan";"Tağiyev";"Ilhame";"F";"1999-10-26";"";36;"";"";"single";"not completed";"0";"2022-12-02 08:28:42";0.0
355;"YX1PE1R";"Azar";"Sadiqov";"Arif";"M";"2000-05-08";"";35;"";"";"single";"completed";"A";"2022-12-02 08:28:42";0.0
356;"0HBCP5K";"Zeynab";"Alakbarov";"Gülnare";"M";"1999-07-23";"";55;"";"";"married";"not completed";"A";"2022-12-02 08:28:42";0.0
358;"9BT5I8U";"Rahile";"Haciyev";"Emin";"M";"1997-01-26";"";9;"";"";"married";"not completed";"AB";"2022-12-02 08:28:42";0.0
359;"C201QB9";"Elşan";"Mahmudov";"Zaur";"F";"2001-11-17";"";11;"";"";"single";"not completed";"B";"2022-12-02 08:28:42";0.0
360;"U1ABSC4";"Yusif";"Tağiyeva";"Elxan";"F";"2003-11-25";"";7;"";"";"single";"completed";"A";"2022-12-02 08:28:42";0.0
361;"DB8BLU1";"Rauf";"Rahimov";"Ruslan";"M";"2002-02-02";"";19;"";"";"married";"completed";"B";"2022-12-02 08:28:42";0.0
362;"RTZD2DC";"Natiq";"Tağiyev";"Nigar";"F";"2000-05-28";"";25;"";"";"divorced";"completed";"0";"2022-12-02 08:28:42";0.0
363;"DEU7E88";"Parvane";"Alakbarov";"Elnur";"F";"1999-05-22";"";5;"";"";"married";"completed";"AB";"2022-12-02 08:28:42";0.0
364;"VGSCHEU";"Elman";"Xalilova";"Rauf";"F";"1999-02-28";"";53;"";"";"single";"not completed";"AB";"2022-12-02 08:28:42";0.0
365;"M313G5S";"Rövşan";"Mahmudova";"Xayale";"M";"1996-02-22";"";39;"";"";"married";"completed";"A";"2022-12-02 08:28:42";0.0
366;"972IGJJ";"Aynure";"Qasimova";"Xalide";"M";"1995-10-19";"";99;"";"";"divorced";"not completed";"0";"2022-12-02 08:28:42";0.0
367;"AUBEIA0";"Günay";"Safarova";"Leyla";"M";"2003-10-25";"";18;"";"";"single";"completed";"B";"2022-12-02 08:28:42";0.0
368;"0PRO2GY";"Ilqar";"Asgarov";"Elvin";"M";"1999-05-11";"";37;"";"";"single";"completed";"B";"2022-12-02 08:28:42";0.0
369;"G3O98H7";"Şahin";"Allahverdiyev";"Vüsal";"F";"1994-03-26";"";91;"";"";"single";"completed";"AB";"2022-12-02 08:28:42";0.0
370;"S8PKZRU";"Elçin";"Mehdiyev";"Irade";"M";"1995-06-16";"";78;"";"";"married";"not completed";"0";"2022-12-02 08:28:42";0.0
371;"PI4T8D1";"Ilham";"Qasimov";"Tural";"F";"1999-09-01";"";36;"";"";"single";"not completed";"B";"2022-12-02 08:28:42";0.0
372;"CI7ZOMD";"Aytan";"Isayeva";"Ilham";"F";"1995-01-28";"";63;"";"";"married";"completed";"AB";"2022-12-02 08:28:42";0.0
373;"UVX3QDG";"Aybaniz";"Haciyeva";"Saadat";"M";"1996-03-25";"";45;"";"";"divorced";"completed";"0";"2022-12-02 08:28:42";0.0
374;"TMO7027";"Rana";"Hüseynov";"Tarane";"M";"2001-10-19";"";78;"";"";"married";"completed";"AB";"2022-12-02 08:28:42";0.0
375;"RRKETGT";"Rahile";"Mahmudova";"Zaur";"F";"1999-03-08";"";78;"";"";"divorced";"completed";"0";"2022-12-02 08:28:42";0.0
376;"V2PTEAI";"Ruslan";"Sadiqov";"Namiq";"F";"1998-01-06";"";43;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:42";0.0
377;"Y1E7X68";"Gülnare";"Safarova";"Sadaqat";"F";"1995-01-12";"";7;"";"";"divorced";"not completed";"A";"2022-12-02 08:28:42";0.0
378;"5MH1LGS";"Emin";"Asadova";"Zeynab";"F";"1999-08-10";"";22;"";"";"divorced";"completed";"AB";"2022-12-02 08:28:42";0.0
379;"BMEPXA9";"Xatire";"Ahmadova";"Elşad";"F";"1998-06-26";"";33;"";"";"divorced";"not completed";"A";"2022-12-02 08:28:42";0.0
380;"3LF443T";"Rana";"Muradova";"Namiq";"M";"2000-05-25";"";17;"";"";"divorced";"completed";"0";"2022-12-02 08:28:42";0.0
